Bigram	Bigram Count	Uni Count	Bigram Prob
<s> brainpower	6	2220	0.002702702702702703
brainpower ,	6	6	1.0
, not	21	3842	0.005465903175429464
not physical	6	109	0.05504587155963303
physical plant	7	8	0.875
plant ,	279	2317	0.12041432887354338
, is	47	3842	0.012233211868818324
is now	14	447	0.03131991051454139
now a	7	66	0.10606060606060606
a firm	6	1783	0.0033651149747616375
firm 's	6	10	0.6
's chief	7	617	0.011345218800648298
chief asset	6	22	0.2727272727272727
asset .	6	6	1.0
. </s>	2131	2244	0.9496434937611408
<s> hundreds	1	2220	0.00045045045045045046
hundreds of	3	3	1.0
of sewers	1	1569	0.0006373486297004461
sewers at	1	1	1.0
at arrow	1	604	0.0016556291390728477
arrow shirt	2	2	1.0
shirt co.	1	3	0.3333333333333333
co. ,	19	63	0.30158730158730157
, who	46	3842	0.011972930765226444
who were	3	110	0.02727272727272727
were making	1	98	0.01020408163265306
making $	1	26	0.038461538461538464
$ 5	10	387	0.025839793281653745
5 to	1	17	0.058823529411764705
to $	21	1551	0.013539651837524178
$ 7.50	1	387	0.002583979328165375
7.50 an	1	1	1.0
an hour	18	234	0.07692307692307693
hour ,	5	24	0.20833333333333334
, were	10	3842	0.0026028110359187923
were dismissed	1	98	0.01020408163265306
dismissed when	1	1	1.0
when the	32	128	0.25
the plant	470	3676	0.12785636561479868
plant closed	2	2317	0.0008631851532153647
closed in	5	33	0.15151515151515152
in october	16	1651	0.009691096305269533
october and	1	19	0.05263157894736842
and the	95	1342	0.07078986587183309
the jobs	5	3676	0.0013601741022850925
jobs moved	1	92	0.010869565217391304
moved to	4	5	0.8
to latin	1	1551	0.0006447453255963894
latin america	2	2	1.0
america .	3	15	0.2
<s> that	18	2220	0.008108108108108109
that may	2	612	0.0032679738562091504
may be	11	51	0.21568627450980393
be cold	1	249	0.004016064257028112
cold comfort	1	11	0.09090909090909091
comfort for	1	2	0.5
for belle	1	521	0.0019193857965451055
belle mcfall	1	1	1.0
